category,difficulty,city_a,text_a,city_b,text_b,sim,in_crosswalk,reason
Thawing Procedures,easy,nyc,Thawing procedure improper.,boston,Thawing,0.6962919235229492,False,below_threshold
Non-Food Contact Surface Cleaning,easy,nyc,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",boston,Nonfood Contact Surfaces,0.6932007074356079,False,below_threshold
Thawing Procedures,easy,chicago,APPROVED THAWING METHODS USED,boston,Thawing,0.6895619630813599,False,below_threshold
Sewage / Wastewater,easy,nyc,"Sewage disposal system is not provided, improper, inadequate or unapproved.",boston,Approved Sewage Disposal System,0.6870529651641846,False,below_threshold
Hot Holding Temperature,medium,chicago,PROPER HOT HOLDING TEMPERATURES,boston,(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding,0.677015483379364,False,below_threshold
Employee Food Handler Training,easy,nyc,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,boston,(A) Certified Food Protection Manager,0.6571663022041321,False,below_threshold
Toxic / Chemical Storage,easy,nyc,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",boston,Poisonous or Toxic Material Containers-Container Prohibitions,0.6555464863777161,False,below_threshold
Garbage / Waste Disposal,easy,nyc,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",chicago,GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,0.6534832119941711,False,below_threshold
Food Protection / Contamination,easy,chicago,FOOD SEPARATED AND PROTECTED,boston,Food Storage-Preventing Contamination from the Premises,0.644217848777771,False,below_threshold
Proper Cooking Temperatures,easy,nyc,"Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature.   • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process   • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request  • Pork, any food containing pork to or above 150 °F for 15 seconds  • Mechanically tenderized or injected meats to or above 155 °F.  • Whole meat roasts and beef steak to or above required temperature and time except per individual customer request  • Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred   • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request.",chicago,PROPER COOKING TIME & TEMPERATURES,0.641258716583252,False,below_threshold
Food Protection / Contamination,easy,nyc,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",boston,Food Storage-Preventing Contamination from the Premises,0.6291805505752563,False,below_threshold
Ventilation / Lighting,medium,nyc,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",chicago,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,0.6277559399604797,False,below_threshold
Thermometers Provided,easy,chicago,THERMOMETERS PROVIDED & ACCURATE,boston,Temperature Measuring Devices-Functionality,0.6238057017326355,False,below_threshold
Sewage / Wastewater,easy,chicago,SEWAGE & WASTE WATER PROPERLY DISPOSED,boston,Approved Sewage Disposal System,0.6183654069900513,False,below_threshold
Toxic / Chemical Storage,easy,chicago,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED",boston,Poisonous or Toxic Material Containers-Container Prohibitions,0.6170709729194641,False,below_threshold
Personal Cleanliness / Hygiene,medium,nyc,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,chicago,PERSONAL CLEANLINESS,0.6165622472763062,False,below_threshold
Food Labeling,hard,chicago,FOOD PROPERLY LABELED; ORIGINAL CONTAINER,boston,Food Storage Containers Identified with Common Name of Food,0.6155750751495361,False,below_threshold
Employee Food Handler Training,easy,chicago,ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,boston,(A) Certified Food Protection Manager,0.5959575772285461,False,below_threshold
Cold Holding Temperature,easy,chicago,PROPER COLD HOLDING TEMPERATURES,boston,(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding,0.5910510420799255,False,below_threshold
Thermometers Provided,easy,nyc,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",boston,Temperature Measuring Devices-Functionality,0.5883128046989441,False,below_threshold
Proper Cooking Temperatures,easy,nyc,"Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature.   • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process   • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request  • Pork, any food containing pork to or above 150 °F for 15 seconds  • Mechanically tenderized or injected meats to or above 155 °F.  • Whole meat roasts and beef steak to or above required temperature and time except per individual customer request  • Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred   • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request.",boston,Raw Animal Foods-Cooking,0.5870965123176575,False,below_threshold
Hot Holding Temperature,medium,nyc,Hot TCS food item not held at or above 140 °F.,chicago,PROPER HOT HOLDING TEMPERATURES,0.5852081179618835,False,below_threshold
Personal Cleanliness / Hygiene,medium,nyc,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,boston,Effectiveness-Hair Restraints,0.5834811329841614,False,below_threshold
Food Labeling,hard,nyc,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",chicago,FOOD PROPERLY LABELED; ORIGINAL CONTAINER,0.5768305659294128,False,below_threshold
Sewage / Wastewater,easy,nyc,"Sewage disposal system is not provided, improper, inadequate or unapproved.",chicago,SEWAGE & WASTE WATER PROPERLY DISPOSED,0.5685199499130249,False,below_threshold
Hot Holding Temperature,medium,nyc,Hot TCS food item not held at or above 140 °F.,boston,(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding,0.5642174482345581,False,below_threshold
Pest Control,easy,nyc,Evidence of mice or live mice in establishment's food or non-food areas.,chicago,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",0.5493984818458557,False,below_threshold
Cold Holding Temperature,easy,nyc,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,chicago,PROPER COLD HOLDING TEMPERATURES,0.531538724899292,False,below_threshold
Cold Holding Temperature,easy,nyc,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,boston,(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding,0.5302650928497314,False,below_threshold
Food Source / Sound Condition,medium,nyc,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",chicago,FOOD OBTAINED FROM APPROVED SOURCE,0.5213631391525269,False,below_threshold
Food Protection / Contamination,easy,nyc,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",chicago,FOOD SEPARATED AND PROTECTED,0.5098611116409302,False,below_threshold
Permit / License Displayed,hard,nyc,"Current valid permit, registration or other authorization to operate a Food Service Establishment (FSE) or Non-retail Food Processing Establishment (NRFP) not available.",boston,Compliance with Food Law,0.5090329051017761,False,below_threshold
Employee Food Handler Training,easy,nyc,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,chicago,ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,0.5071287751197815,False,below_threshold
Pest Control,easy,chicago,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",boston,Controlling Pests,0.4992353618144989,False,below_threshold
Handwashing Facilities,medium,nyc,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",chicago,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,0.48929283022880554,False,below_threshold
Ventilation / Lighting,medium,chicago,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,boston,Ventilation Hood Systems  Filters,0.48147204518318176,False,below_threshold
Physical Facilities / Structural,hard,nyc,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",chicago,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",0.47534143924713135,False,below_threshold
Food Labeling,hard,nyc,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",boston,Food Storage Containers Identified with Common Name of Food,0.47177425026893616,False,below_threshold
Plumbing / Backflow Prevention,medium,nyc,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,chicago,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,0.4713965654373169,False,below_threshold
Handwashing Facilities,medium,nyc,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",boston,Handwashing Sinks-Location and Placement,0.46109384298324585,False,below_threshold
Garbage / Waste Disposal,easy,chicago,GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,boston,Storage Refuse  Recyclables and Returnable,0.4428711235523224,False,below_threshold
Allergen Awareness,hard,nyc,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,boston,Consumption of Animal Foods that are Raw  Undercooked  or Not Otherwise Processed to Eliminate Pathogens,0.4380444884300232,False,below_threshold
Ventilation / Lighting,medium,nyc,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",boston,Ventilation Hood Systems  Filters,0.43616417050361633,False,below_threshold
Permit / License Displayed,hard,chicago,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,boston,Compliance with Food Law,0.4281959533691406,False,below_threshold
Plumbing / Backflow Prevention,medium,chicago,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,boston,Backflow Prevention  Air Gap,0.41798633337020874,False,below_threshold
Permit / License Displayed,hard,nyc,"Current valid permit, registration or other authorization to operate a Food Service Establishment (FSE) or Non-retail Food Processing Establishment (NRFP) not available.",chicago,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,0.4137248992919922,False,below_threshold
Physical Facilities / Structural,hard,chicago,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",boston,Repairing-Premises  Structures  Attachments  and Fixtures-Methods,0.3762318789958954,False,below_threshold
Proper Cooking Temperatures,easy,chicago,PROPER COOKING TIME & TEMPERATURES,boston,Raw Animal Foods-Cooking,0.37027981877326965,False,below_threshold
Smoking Regulations,medium,nyc,Sign prohibiting smoking or using electronic cigarettes not conspicuously posted.,boston,Eating  Drinking  or Using Tobacco,0.3698188364505768,False,below_threshold
Garbage / Waste Disposal,easy,nyc,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",boston,Storage Refuse  Recyclables and Returnable,0.3447015881538391,False,below_threshold
Food Source / Sound Condition,medium,nyc,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",boston,Safe  Unadulterated and Honestly Presented,0.3406483232975006,False,below_threshold
Pest Control,easy,nyc,Evidence of mice or live mice in establishment's food or non-food areas.,boston,Controlling Pests,0.31634971499443054,False,below_threshold
Food Source / Sound Condition,medium,chicago,FOOD OBTAINED FROM APPROVED SOURCE,boston,Safe  Unadulterated and Honestly Presented,0.28181713819503784,False,below_threshold
Personal Cleanliness / Hygiene,medium,chicago,PERSONAL CLEANLINESS,boston,Effectiveness-Hair Restraints,0.241511270403862,False,below_threshold
Smoking Regulations,medium,nyc,Sign prohibiting smoking or using electronic cigarettes not conspicuously posted.,chicago,COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE,0.2379854917526245,False,below_threshold
Allergen Awareness,hard,nyc,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,chicago,ALLERGEN TRAINING AS REQUIRED,0.2339044213294983,False,below_threshold
Plumbing / Backflow Prevention,medium,nyc,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,boston,Backflow Prevention  Air Gap,0.18618418276309967,False,below_threshold
Physical Facilities / Structural,hard,nyc,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",boston,Repairing-Premises  Structures  Attachments  and Fixtures-Methods,0.17962564527988434,False,below_threshold
Smoking Regulations,medium,chicago,COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE,boston,Eating  Drinking  or Using Tobacco,0.1778097301721573,False,below_threshold
Allergen Awareness,hard,chicago,ALLERGEN TRAINING AS REQUIRED,boston,Consumption of Animal Foods that are Raw  Undercooked  or Not Otherwise Processed to Eliminate Pathogens,0.07338523864746094,False,below_threshold
Food Contact Surface Cleaning,easy,nyc,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",boston,Food-Contact Surfaces-Cleanability,0.7937868237495422,False,rejected_by_llm
Thawing Procedures,easy,nyc,Thawing procedure improper.,chicago,APPROVED THAWING METHODS USED,0.7828603982925415,False,rejected_by_llm
Toxic / Chemical Storage,easy,nyc,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",chicago,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED",0.7571671605110168,False,rejected_by_llm
Handwashing Facilities,medium,chicago,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,boston,Handwashing Sinks-Location and Placement,0.7246552109718323,False,rejected_by_llm
