category,nyc,chicago,boston,difficulty,notes
Pest Control,Evidence of mice or live mice in establishment's food or non-food areas.,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",Controlling Pests,easy,NYC splits pests into mice/roaches/flies (3+ codes); Chicago and Boston use one broad category each
Thermometers Provided,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",THERMOMETERS PROVIDED & ACCURATE,Temperature Measuring Devices-Functionality,easy,
Thawing Procedures,Thawing procedure improper.,APPROVED THAWING METHODS USED,Thawing,easy,
Cold Holding Temperature,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,PROPER COLD HOLDING TEMPERATURES,(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding,easy,Boston bundles hot+cold holding into one description
Hot Holding Temperature,Hot TCS food item not held at or above 140 °F.,PROPER HOT HOLDING TEMPERATURES,(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding,medium,Boston uses same description family for hot and cold
Food Contact Surface Cleaning,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",FOOD-CONTACT SURFACES: CLEANED & SANITIZED,Food-Contact Surfaces-Cleanability,easy,
Non-Food Contact Surface Cleaning,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",NON-FOOD/FOOD CONTACT SURFACES CLEAN,Nonfood Contact Surfaces,easy,
Food Protection / Contamination,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",FOOD SEPARATED AND PROTECTED,Food Storage-Preventing Contamination from the Premises,easy,
Employee Food Handler Training,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,(A) Certified Food Protection Manager,easy,
Wiping Cloths,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",WIPING CLOTHS: PROPERLY USED & STORED,Wiping Cloths  Use Limitation,easy,
Toxic / Chemical Storage,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.","TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED",Poisonous or Toxic Material Containers-Container Prohibitions,easy,
Proper Cooking Temperatures,"Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature.   • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process   • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request  • Pork, any food containing pork to or above 150 °F for 15 seconds  • Mechanically tenderized or injected meats to or above 155 °F.  • Whole meat roasts and beef steak to or above required temperature and time except per individual customer request  • Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred   • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request.",PROPER COOKING TIME & TEMPERATURES,Raw Animal Foods-Cooking,easy,
Sewage / Wastewater,"Sewage disposal system is not provided, improper, inadequate or unapproved.",SEWAGE & WASTE WATER PROPERLY DISPOSED,Approved Sewage Disposal System,easy,
Physical Facilities / Structural,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.","PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",Repairing-Premises  Structures  Attachments  and Fixtures-Methods,hard,"Chicago bundles all physical facility issues (maintenance, floors, walls, ceilings) into one category. NYC splits into specific aspects (toilet facilities, pest harborage, structural). Boston distinguishes structural repairs from surface cleanability."
Allergen Awareness,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,ALLERGEN TRAINING AS REQUIRED,Consumption of Animal Foods that are Raw  Undercooked  or Not Otherwise Processed to Eliminate Pathogens,hard,Boston has no direct allergen-awareness description. Closest related concept is consumer advisory for raw/undercooked food. This is a genuine taxonomy gap.
Permit / License Displayed,"Current valid permit, registration or other authorization to operate a Food Service Establishment (FSE) or Non-retail Food Processing Establishment (NRFP) not available.",CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,Compliance with Food Law,hard,Each city frames permits very differently. Boston has no direct 'permit displayed' violation.
Handwashing Facilities,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,Handwashing Sinks-Location and Placement,medium,
Plumbing / Backflow Prevention,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,Backflow Prevention  Air Gap,medium,
Food Labeling,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",FOOD PROPERLY LABELED; ORIGINAL CONTAINER,Food Storage Containers Identified with Common Name of Food,hard,Each city emphasizes different aspects of food labeling
Ventilation / Lighting,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,Ventilation Hood Systems  Filters,medium,Chicago bundles ventilation + lighting; NYC and Boston only cover ventilation here
Personal Cleanliness / Hygiene,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,PERSONAL CLEANLINESS,Effectiveness-Hair Restraints,medium,
Garbage / Waste Disposal,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,Storage Refuse  Recyclables and Returnable,easy,
Smoking Regulations,Sign prohibiting smoking or using electronic cigarettes not conspicuously posted.,COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE,Eating  Drinking  or Using Tobacco,medium,"Boston frames as employee behavior, not signage"
Food Source / Sound Condition,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",FOOD OBTAINED FROM APPROVED SOURCE,Safe  Unadulterated and Honestly Presented,medium,Boston uses broad food safety language rather than source-specific
